id,occupation,location,tstamp,treatment,treated_cg,treated_em,did_mc,started_assignment,completed_assignment,time_read,time_check,time_ready,time_assignment,man_check_cgo_correct,man_check_emi_correct,passed_both_mc,sga,da,fvg_market,fvg_model,gains_inv_property,int_exp,tax_exp,dinclude
JDU3OWUY2S6IS0G9,Portfolio Manager,Europe,2019-07-03 10:11:04,2,FALSE,TRUE,FALSE,FALSE,FALSE,5.91824817657471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1QUF9I9XPOJU3RZU,Portfolio Manager,Europe,2019-07-03 10:16:08,2,FALSE,TRUE,TRUE,TRUE,TRUE,28.4130806922913,19.7634100914001,11.0072906017303,122.342618465424,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
D65U8KSEK0FNHVTJ,Portfolio Manager,North America,2019-07-03 10:17:13,1,FALSE,FALSE,TRUE,TRUE,TRUE,31.5834648609161,53.8751721382141,4.10849189758301,120.191282987595,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
AUCTEVQ9L7ODSQ82,Portfolio Manager,Europe,2019-07-03 10:17:48,1,FALSE,FALSE,TRUE,TRUE,TRUE,58.0918474197388,12.0746603012085,1.70389842987061,63.3622395992279,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
8OUDE3953GOS1A9K,Financial Analyst,Rest of World,2019-07-03 11:34:03,2,FALSE,TRUE,TRUE,TRUE,TRUE,1526.51380443573,86.8192002773285,2.53710150718689,3086.52447462082,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0
CIPEQW7NXF9YEVNF,Financial Analyst,Europe,2019-07-03 10:28:34,2,FALSE,TRUE,TRUE,TRUE,TRUE,37.8657512664795,11.0076606273651,2.74126243591309,103.023443222046,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
PDVU15T9MT9W8J4R,Portfolio Manager,North America,2019-07-03 10:38:24,3,TRUE,FALSE,FALSE,FALSE,FALSE,18.5860750675201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MBAEDXZ7Q0ETWC04,Financial Analyst,Europe,2019-07-03 10:42:08,2,FALSE,TRUE,TRUE,TRUE,TRUE,19.9768102169037,5.62293577194214,2.43951082229614,34.9505293369293,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
Y58EOQ8U8WU0K702,Portfolio Manager,Europe,2019-07-03 10:45:41,1,FALSE,FALSE,TRUE,TRUE,TRUE,59.9326026439667,21.5317633152008,12.6730108261108,94.9112830162048,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0
HKBB15PBBJG2GCQK,Portfolio Manager,Europe,2019-07-03 10:46:06,3,TRUE,FALSE,TRUE,TRUE,TRUE,23.8287076950073,30.0466191768646,4.27730178833008,138.923439979553,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0
